kg,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
0.0,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,
0.4,80,100,130,160,190,200-2,270-2,280,300,340,380,,,,,
0.6,110,140,180,200,230,240,260-1,320-1,340,390,420,470,,,,
0.8,130,190,210,240,260,280,300-1,360-1,390,410,450,490,550,,,
1.0,160,200,250,280,300,310,340-1,400-1,440,460,500,540,590,,,
1.2,200,220,280,310,330,350,380-1,440-1,480,500,540,580,620,,,
1.4,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,